727.99,-57.06,430.39,-2.4560,-1.3720,-0.8288,
635.93,19.73,430.40,-0.6239,-1.3483,-2.4848,
791.18,-22.84,406.42,1.2401,-1.2514,1.8995,
804.62,-149.95,394.62,-0.8982,-1.3833,-2.4901,
773.28,-179.13,391.42,2.6942,-1.4222,0.1499,
724.41,-179.10,460.15,1.1146,-1.3238,2.0696,
590.57,-192.82,460.13,2.6299,-1.3988,0.4564,
685.14,-146.24,430.38,-1.3351,-1.3935,-1.8788,
779.72,-153.25,430.38,1.4696,-1.3216,1.4676,
821.17,-113.48,400.07,-1.7587,-1.4097,-1.2407,
654.03,-144.27,389.72,1.2475,-1.1888,1.5933,
614.12,-36.12,455.46,2.8300,-1.4206,0.5127,
697.75,101.03,484.47,-1.9140,-1.4713,-1.6944,
697.75,-112.92,420.91,-1.5171,-1.2798,-1.6658,
870.48,-66.91,420.87,-1.0364,-1.2306,-2.1798,
602.99,-39.95,393.84,-0.1704,-1.3946,2.9696

